Est.:;Cidade:
MG ;BOTELHOS
SP ;SÃO PAULO
SC ;ORLEANS
MG ;FORMIGA
RS ;NOVO HAMBURGO
MG ;BOTELHOS
SC ;BRAÇO DO NORTE
MG ;BOTELHOS
SP ;SÃO PAULO
RJ ;CAMPOS DOS GOYTACAZES
PE ;VITÓRIA DE SANTO ANTÃO
AL ;MACEIÓ
GO ;GOIÂNIA
SP ;ITU
RS ;NOVO HAMBURGO
MG ;JUIZ DE FORA
GO ;CHAPADÃO DO CÉU
MG ;BOTELHOS
RS ;SÃO LEOPOLDO
BA ;SALVADOR
GO ;GOIÂNIA
PR ;TOLEDO
SC ;FLORIANÓPOLIS
RS ;PORTO ALEGRE
SP ;SÃO BERNARDO DO CAMPO
MT ;SORRISO
MG ;LAGOA SANTA
DF ;BRASÍLIA
RJ ;RIO DE JANEIRO
GO ;CERES
RS ;PORTO ALEGRE
MG ;SABARÁ
PR ;CURITIBA
SP ;SÃO PAULO
MA ;BALSAS
PR ;UMUARAMA
MG ;BARBACENA
RS ;CANDELÁRIA
GO ;GOIÂNIA
SP ;GUARULHOS
MG ;BELO HORIZONTE
SP ;FERNANDÓPOLIS
MG ;PATOS DE MINAS
PR ;MEDIANEIRA
SP ;SÃO PAULO
TO ;GURUPI
SP ;ANDRADINA
PE ;SALGUEIRO
SP ;SÃO PAULO
RJ ;MACAÉ
RJ ;CASIMIRO DE ABREU
SP ;SÃO BERNARDO DO CAMPO
MG ;UBERABA
PR ;CURITIBA
MT ;CUIABÁ
MT ;JACIARA
RS ;CAXIAS DO SUL
MT ;CUIABÁ
PR ;GUARAPUAVA
SP ;SÃO PAULO
SE ;ARACAJU
ES ;VITÓRIA
RS ;SÃO LEOPOLDO
PE ;RECIFE
PA ;BELÉM
SE ;ITABAIANA
BA ;BRUMADO
BA ;SALVADOR
PR ;SÃO JOÃO DO IVAÍ
SP ;SÃO PAULO
MG ;IPATINGA
SP ;AMERICANA
MG ;BELO HORIZONTE
RJ ;PETRÓPOLIS
MG ;OURO FINO
BA ;JITAÚNA
RO ;VILHENA
RS ;TRIUNFO
SP ;SÃO PAULO
MS ;NOVA ANDRADINA
RJ ;BARRA MANSA
PR ;ARAPONGAS
PR ;TOLEDO
MG ;MANHUAÇU
RS ;IJUÍ
PA ;XINGUARA
SC ;BLUMENAU
SP ;SÃO BERNARDO DO CAMPO
MS ;NAVIRAÍ
RJ ;RIO DE JANEIRO
RJ ;BARRA MANSA
SP ;SÃO PAULO
MG ;SANTOS DUMONT
SC ;ORLEANS
MG ;ITAÚNA
MG ;POUSO ALEGRE
ES ;CACHOEIRO DE ITAPEMIRIM
PR ;ARAPONGAS
BA ;TEIXEIRA DE FREITAS
PR ;BANDEIRANTES
SP ;TATUÍ
RS ;SÃO JERÔNIMO
RJ ;RIO DE JANEIRO
MG ;ARCOS
MT ;CAMPO NOVO DO PARECIS
SP ;BOITUVA
SP ;GUARUJÁ
MG ;SETE LAGOAS
BA ;SANTO ANTÔNIO DE JESUS
ES ;VITÓRIA
SC ;CRICIÚMA
ES ;VILA VELHA
BA ;SALVADOR
BA ;GUANAMBI
BA ;IPIAÚ
PR ;CIANORTE
CE ;FORTALEZA
MG ;ITAÚNA
ES ;LINHARES
SP ;SANTO ANDRÉ
ES ;BARRA DE SÃO FRANCISCO
SC ;CORONEL FREITAS
GO ;GOIÂNIA
BA ;SALVADOR
MG ;LEOPOLDINA
MT ;RONDONÓPOLIS
MT ;RONDONÓPOLIS
RJ ;MAGÉ
MS ;CAMPO GRANDE
ES ;LINHARES
SC ;GASPAR
MG ;GOVERNADOR VALADARES
SP ;ITAPUÍ
SP ;SÃO JOSÉ DOS CAMPOS
SP ;FARTURA
RS ;SANTA ROSA
RS ;SANTA CRUZ DO SUL
SC ;NOVA VENEZA
SP ;TATUÍ
MG ;MONTE CARMELO
RO ;PORTO VELHO
PR ;GOIOERÊ
MS ;CORUMBÁ
RS ;PELOTAS
PA ;BELÉM
SC ;TREZE DE MAIO
ES ;ARACRUZ
